ticker,sector
AAPL,Software
MSFT,Software
GOOGL,Software
META,Software
AMZN,Software
NFLX,Software
SNAP,Software
CRWD,Software
NVDA,AI & Semiconductors
AMD,AI & Semiconductors
AVGO,AI & Semiconductors
ARM,AI & Semiconductors
MU,AI & Semiconductors
INTC,AI & Semiconductors
TSM,AI & Semiconductors
ASML,AI & Semiconductors
MRVL,AI & Semiconductors
QCOM,AI & Semiconductors
DELL,AI & Semiconductors
IFX.DE,AI & Semiconductors
PLTR,AI & Semiconductors
SMCI,AI & Semiconductors
PATH,AI & Semiconductors
BBAI,AI & Semiconductors
IREN,AI & Semiconductors
NBIS,AI & Semiconductors
ORCL,AI & Semiconductors
SNOW,AI & Semiconductors
OKLO,AI & Semiconductors
ALAB,AI & Semiconductors
MSTR,Crypto Proxies
COIN,Crypto Proxies
RIOT,Crypto Proxies
MARA,Crypto Proxies
BITF,Crypto Proxies
WULF,Crypto Proxies
BMNR,Crypto Proxies
RKLB,Space & Defense
ASTS,Space & Defense
ONDS,Space & Defense
DRO.AX,Space & Defense
RHM.DE,Space & Defense
BAESY,Space & Defense
LLY,Pharma & Biotech
NVO,Pharma & Biotech
VKTX,Pharma & Biotech
REGN,Pharma & Biotech
MRNA,Pharma & Biotech
BNTX,Pharma & Biotech
ABCL,Pharma & Biotech
PYPL,Fintech & Financials
SOFI,Fintech & Financials
HOOD,Fintech & Financials
JPM,Fintech & Financials
OPEN,Fintech & Financials
OSCR,Insurtec / Health
UNH,Insurtec / Health
HIMS,Insurtec / Health
TEM,Insurtec / Health
LMND,Insurtec / Health
TSLA,EV
LCID,EV
BYD,EV
IONQ,Quantum Computing
RGTI,Quantum Computing
SPY,Indices & ETFs
QQQ,Indices & ETFs
